n_number,first_name,last_name,email,gpa,grad_year,street,city,state,postal_code
N83155,Dilan,Kerfoot,dkerfooti@nyu.edu,3.04,2023,8 Melody Plaza,Trenton,NJ,08638
N69913,Lilli,Banham,lbanhamj@nyu.edu,3.849,2026,05 Lighthouse Bay Park,San Diego,CA,92115
N57036,Tresa,O'Henery,toheneryk@nyu.edu,1.842,2027,591 Bay Alley,Washington,DC,20470
N48119,Cece,Chiswell,cchiswelll@nyu.edu,2.189,2026,55 Mifflin Avenue,San Jose,CA,95133
N70916,Zed,Blanko,zblankom@nyu.edu,2.795,2024,8 Artisan Trail,Chicago,IL,60681
N69072,Brendan,Haggath,bhaggathn@nyu.edu,0.829,2027,2 Luster Court,Nashville,TN,37210
N87919,Elberta,Fray,efrayo@nyu.edu,0.17,2027,83 Randy Junction,San Antonio,TX,78245
N59099,Tanhya,Purves,tpurvesp@nyu.edu,3.951,2023,8396 Ronald Regan Point,Birmingham,AL,35244
N55447,Archibald,McAnalley,amcanalleyq@nyu.edu,3.325,2023,203 Glacier Hill Road,Shreveport,LA,71105
N81617,Arty,Laughlan,alaughlanr@nyu.edu,1.759,2025,83 Nevada Junction,Bowie,MD,20719
N78554,Cullan,Clemenceau,cclemenceaus@nyu.edu,3.871,2023,52032 Stephen Hill,Cedar Rapids,IA,52410
N63410,Hersh,Bertelmot,hbertelmott@nyu.edu,1.53,2023,7 Knutson Terrace,Birmingham,AL,35295
N80332,Cooper,Kment,ckmentu@nyu.edu,2.398,2023,5 Shopko Avenue,San Antonio,TX,78285
N74153,Irina,Posnette,iposnettev@nyu.edu,2.473,2023,472 Petterle Court,Tampa,FL,33610
N44237,Jacynth,Laible,jlaiblew@nyu.edu,0.412,2025,17 Bunting Point,Charleston,SC,29411
N44341,Sarajane,Giraudo,sgiraudox@nyu.edu,0.276,2023,8 Anthes Junction,Houston,TX,77288
N71712,Anthony,Quarmby,aquarmbyy@nyu.edu,3.87,2027,304 Burning Wood Trail,Cincinnati,OH,45296
N58892,Arri,Arboin,aarboinz@nyu.edu,0.398,2023,849 Atwood Pass,Brooklyn,NY,11247
N87080,Kurtis,Momery,kmomery10@nyu.edu,0.794,2024,35730 Corben Circle,Phoenix,AZ,85025
N48774,Kelbee,De Stoop,kdestoop11@nyu.edu,0.459,2027,36 Florence Lane,Erie,PA,16505
N78396,Nonie,Devennie,ndevennie12@nyu.edu,3.473,2027,983 Harper Terrace,Houston,TX,77090
N70904,Lennard,Churn,lchurn13@nyu.edu,0.792,2026,188 Forest Run Way,Des Moines,IA,50362
N53539,Des,Corrigan,dcorrigan14@nyu.edu,3.712,2026,2 Chinook Street,Dallas,TX,75241
N60015,Leontine,Tempest,ltempest15@nyu.edu,2.686,2025,3 Cambridge Street,Austin,TX,78769
N59669,Ynez,Praten,ypraten16@nyu.edu,3.138,2026,7852 Farwell Junction,Long Beach,CA,90805
N84344,Cassi,Coppledike,ccoppledike17@nyu.edu,3.824,2025,18 Petterle Plaza,Marietta,GA,30061
N79603,Kenton,Jerg,kjerg18@nyu.edu,3.905,2023,8 Kennedy Terrace,Boulder,CO,80305
N89177,Loleta,McAteer,lmcateer19@nyu.edu,1.289,2026,2702 7th Road,Atlanta,GA,30351
N40397,Quinn,Dellit,qdellit1a@nyu.edu,2.038,2024,5 Rowland Park,Saint Louis,MO,63196
N77862,Carly,Baty,cbaty1b@nyu.edu,1.553,2023,70 Nova Park,Amarillo,TX,79118
N44843,Dareen,Bert,dbert1c@nyu.edu,2.598,2026,4576 Toban Point,Cincinnati,OH,45218
N38663,Guntar,Dobsons,gdobsons1d@nyu.edu,2.109,2023,3372 Rockefeller Center,Bethlehem,PA,18018
N82940,Sheree,Dabrowski,sdabrowski1e@nyu.edu,1.131,2027,956 Pearson Place,Minneapolis,MN,55480
N87584,Kissie,Rookes,krookes1f@nyu.edu,3.446,2023,0740 Toban Terrace,Washington,DC,20591
N60183,Erv,Jowling,ejowling1g@nyu.edu,0.108,2024,86386 Prairieview Way,Warren,MI,48092
N39333,Billye,Wederell,bwederell1h@nyu.edu,0.827,2024,801 Old Gate Circle,El Paso,TX,88519
N52390,Branden,Strodder,bstrodder1i@nyu.edu,0.811,2027,4 Scoville Plaza,Arlington,VA,22212
N57465,Tressa,McIlhone,tmcilhone1j@nyu.edu,1.039,2024,904 Schiller Court,Panama City,FL,32405
N82147,Beaufort,Spackman,bspackman1k@nyu.edu,2.957,2026,88360 Stone Corner Crossing,Anaheim,CA,92825
N46213,Hunt,Ottee,hottee1l@nyu.edu,0.248,2024,7 Valley Edge Street,Lakeland,FL,33805
N79656,Michele,Dewick,mdewick1m@nyu.edu,3.016,2024,96 South Drive,Waterbury,CT,06721
N56146,Tammie,Ebbutt,tebbutt1n@nyu.edu,0.798,2027,831 Corscot Crossing,Oklahoma City,OK,73157
N83428,Savina,Eltun,seltun1o@nyu.edu,2.993,2025,44 Forster Parkway,Rochester,NY,14683
N50651,Shauna,London,slondon1p@nyu.edu,3.584,2027,6 Jackson Center,Buffalo,NY,14233
N88396,Yancey,Gillcrist,ygillcrist1q@nyu.edu,2.038,2024,569 Sachtjen Avenue,Carson City,NV,89714
N44480,Henryetta,Gulliford,hgulliford1r@nyu.edu,0.95,2026,666 Spaight Road,Levittown,PA,19058
N69153,Ewan,Ivanyutin,eivanyutin1s@nyu.edu,3.517,2027,4 Evergreen Terrace,Migrate,KY,41905
N66474,Rora,Klimecki,rklimecki1t@nyu.edu,2.067,2025,69302 Kennedy Point,Jacksonville,FL,32259
N38715,Gusty,Cookes,gcookes1u@nyu.edu,0.489,2024,4669 4th Circle,North Little Rock,AR,72118
N60573,Forbes,Baptist,fbaptist1v@nyu.edu,1.237,2026,1611 Northridge Avenue,Hampton,VA,23668
N63843,Pammi,Blouet,pblouet1w@nyu.edu,3.605,2023,178 Dapin Avenue,Pittsburgh,PA,15255
N81449,Trudey,Dingley,tdingley1x@nyu.edu,2.899,2026,2154 Montana Alley,Sarasota,FL,34238
N89398,Silvio,Balke,sbalke1y@nyu.edu,1.356,2024,7323 Ryan Hill,Stockton,CA,95205
N51033,Buckie,Carreyette,bcarreyette1z@nyu.edu,0.978,2023,7 Pankratz Drive,San Antonio,TX,78255
N50574,Roxi,Pepin,rpepin20@nyu.edu,3.962,2026,80 Bluejay Avenue,Greensboro,NC,27425
N87269,Lyn,Buxton,lbuxton21@nyu.edu,2.082,2027,85 Clemons Way,Topeka,KS,66606
N46572,Benoite,Rubberts,brubberts22@nyu.edu,3.996,2026,461 Florence Pass,New Orleans,LA,70124
N40719,Ginevra,Leonarde,gleonarde23@nyu.edu,3.826,2027,0287 Quincy Alley,Memphis,TN,38119
N70413,Tanny,Rosencrantz,trosencrantz24@nyu.edu,0.817,2023,5996 Wayridge Point,Davenport,IA,52809
N72817,Dorothea,Mattedi,dmattedi25@nyu.edu,0.196,2023,2223 Continental Court,Lake Charles,LA,70607
N67206,Brent,Ferrar,bferrar26@nyu.edu,1.216,2025,3 Talmadge Lane,Brooklyn,NY,11236
N69751,Roch,Escofier,rescofier27@nyu.edu,1.276,2024,08 Dryden Hill,Buffalo,NY,14263
N82451,Ange,Eefting,aeefting28@nyu.edu,3.027,2024,8 Kingsford Center,Salt Lake City,UT,84135
N46511,Camilla,Leak,cleak29@nyu.edu,3.192,2025,178 Paget Court,Charlotte,NC,28256
N70122,Iolanthe,Fidler,ifidler2a@nyu.edu,3.99,2026,616 Carberry Circle,El Paso,TX,79950
N51092,Lavina,Peacocke,lpeacocke2b@nyu.edu,2.451,2025,5 Erie Avenue,Raleigh,NC,27635
N70373,Vern,Accombe,vaccombe2c@nyu.edu,0.227,2024,190 Thierer Junction,Jersey City,NJ,07305
N77574,Myrvyn,Maffin,mmaffin2d@nyu.edu,1.442,2026,43 Corscot Alley,North Las Vegas,NV,89036
N47117,Jilleen,Beadnell,jbeadnell2e@nyu.edu,0.594,2026,7835 Lakewood Drive,Nashville,TN,37245
N85838,Rabbi,Richens,rrichens2f@nyu.edu,3.797,2026,7939 Northwestern Lane,Buffalo,NY,14276
N38189,Coralyn,Packington,cpackington2g@nyu.edu,2.196,2023,047 Artisan Road,Yonkers,NY,10705
N41116,Marnia,Pumfrett,mpumfrett2h@nyu.edu,0.459,2026,0825 Crownhardt Parkway,Portland,OR,97201
N56088,Erie,Jameson,ejameson2i@nyu.edu,3.091,2023,8168 Crescent Oaks Alley,Albuquerque,NM,87140
N79661,Honey,Grabeham,hgrabeham2j@nyu.edu,2.016,2026,04503 Sutteridge Parkway,Columbus,OH,43268
N64322,Ange,Barnby,abarnby2k@nyu.edu,1.004,2025,2 Buena Vista Avenue,Buffalo,NY,14263
N84814,Missie,Berkelay,mberkelay2l@nyu.edu,0.332,2024,19602 Lukken Street,New York City,NY,10014
N82866,Vanny,Lowdham,vlowdham2m@nyu.edu,0.155,2026,18903 Valley Edge Point,Jackson,MS,39204
N52020,Boigie,Minett,bminett2n@nyu.edu,1.378,2023,84833 Maryland Road,New York City,NY,10004
N84779,Halette,Chesnay,hchesnay2o@nyu.edu,1.599,2023,81807 Redwing Point,Dayton,OH,45408
N47569,Archibaldo,Gatsby,agatsby2p@nyu.edu,0.288,2024,945 Caliangt Center,Colorado Springs,CO,80951
N66422,Merrie,Coppens,mcoppens2q@nyu.edu,3.966,2026,96 Bellgrove Terrace,Seattle,WA,98166
N57650,Parrnell,Chomicz,pchomicz2r@nyu.edu,3.5,2024,9575 Graceland Street,San Antonio,TX,78291
N76042,Kylie,Acreman,kacreman2s@nyu.edu,0.783,2027,28089 Continental Way,Stamford,CT,06905
N49391,Sheeree,Kershaw,skershaw2t@nyu.edu,0.845,2024,8 Hooker Crossing,Wichita,KS,67230
N45978,Prissie,Castagne,pcastagne2u@nyu.edu,3.778,2024,459 Northfield Drive,Los Angeles,CA,90094
N86303,Brit,Grigori,bgrigori2v@nyu.edu,1.482,2023,12 Maple Wood Place,Pittsburgh,PA,15205
N87153,Victoir,Mocher,vmocher2w@nyu.edu,0.335,2026,16 Lukken Circle,Boston,MA,02163
N73736,Hortense,Sales,hsales2x@nyu.edu,1.776,2026,4 Carey Way,Fort Worth,TX,76134
N57774,Lacee,Manon,lmanon2y@nyu.edu,0.84,2024,17 Lakewood Drive,Roanoke,VA,24004
N72674,Phoebe,Town,ptown2z@nyu.edu,3.335,2026,17700 Prentice Terrace,Albuquerque,NM,87105
N41501,Rebecka,Sacchetti,rsacchetti30@nyu.edu,2.515,2025,9 Eastwood Center,Nashville,TN,37210
N54624,Nikos,Beddall,nbeddall31@nyu.edu,2.664,2024,480 Beilfuss Street,Austin,TX,78710
N87406,Teri,Yetton,tyetton32@nyu.edu,3.643,2025,622 Bartillon Point,Chicago,IL,60619
N56082,Uriel,Cossey,ucossey33@nyu.edu,3.533,2024,8 4th Crossing,Irvine,CA,92619
N67673,Fred,Leonida,fleonida34@nyu.edu,3.909,2024,371 Barnett Parkway,Boise,ID,83727
N59300,Melli,McCooke,mmccooke35@nyu.edu,1.42,2026,15 Arkansas Circle,Portland,OR,97232
N73889,Duke,Over,dover36@nyu.edu,1.038,2026,388 Ludington Park,Orlando,FL,32819
N69341,Marianne,Tinston,mtinston37@nyu.edu,3.948,2025,8592 Carioca Hill,Springfield,MO,65805
N64688,Dona,Code,dcode38@nyu.edu,2.193,2025,3134 Talmadge Park,Sarasota,FL,34238
N40233,Kylie,Glamart,kglamart39@nyu.edu,0.32,2026,998 Green Terrace,Salt Lake City,UT,84120
N82516,Burch,Dyde,bdyde3a@nyu.edu,2.62,2024,87 Kennedy Avenue,Evansville,IN,47747
N86664,Miran,Maylor,mmaylor3b@nyu.edu,2.489,2025,31561 Rowland Plaza,Sacramento,CA,94230
N64055,Iseabal,Leighfield,ileighfield3c@nyu.edu,0.249,2024,4 Oneill Terrace,Whittier,CA,90605
N81354,Archibaldo,Bewshaw,abewshaw3d@nyu.edu,2.663,2027,2863 Cambridge Court,Brooklyn,NY,11236
N37116,Frederick,Nattriss,fnattriss3e@nyu.edu,3.733,2026,421 Elmside Plaza,Memphis,TN,38150
N56953,Konstantin,Burrows,kburrows3f@nyu.edu,2.361,2025,8277 Loeprich Avenue,Arlington,VA,22217
N38616,Jessi,Lorain,jlorain3g@nyu.edu,0.065,2025,157 Crest Line Circle,Arlington,TX,76004
N65454,Boyce,Ridler,bridler3h@nyu.edu,1.903,2023,316 Bartillon Circle,Charleston,WV,25331
N41805,Gian,Corkhill,gcorkhill3i@nyu.edu,0.612,2025,96307 Weeping Birch Trail,Las Vegas,NV,89160
N55932,Vaclav,Paolotto,vpaolotto3j@nyu.edu,2.105,2024,388 Mandrake Junction,Greeley,CO,80638
N48781,Anthe,Seakings,aseakings3k@nyu.edu,2.031,2026,08 Hoffman Point,Houston,TX,77055
N74047,Ericha,Attersoll,eattersoll3l@nyu.edu,0.537,2026,7616 Luster Junction,Winston Salem,NC,27150
N35470,Mamie,Merrison,mmerrison3m@nyu.edu,3.729,2024,36367 Meadow Ridge Junction,Clearwater,FL,34620
N41467,Louella,Koopman,lkoopman3n@nyu.edu,1.299,2024,57 Loeprich Terrace,Colorado Springs,CO,80910
N83187,Clark,Morilla,cmorilla3o@nyu.edu,0.135,2023,61 Morrow Terrace,Montgomery,AL,36109
N46329,Kalvin,Maplethorpe,kmaplethorpe3p@nyu.edu,3.353,2023,66 Novick Center,Spokane,WA,99260
N52941,Nowell,Fishenden,nfishenden3q@nyu.edu,2.774,2026,49 Sycamore Road,San Diego,CA,92170
N68355,Sallyann,McVee,smcvee3r@nyu.edu,3.443,2027,7 Emmet Alley,Memphis,TN,38143
N81689,Gannon,Stoffers,gstoffers3s@nyu.edu,2.408,2025,6080 Russell Hill,Anchorage,AK,99517
N71484,Harvey,Greaser,hgreaser3t@nyu.edu,2.84,2026,92958 Stephen Avenue,Minneapolis,MN,55428
N78492,Charity,Cruden,ccruden3u@nyu.edu,1.066,2025,6935 Oak Valley Way,Glendale,CA,91205
N61994,Dee,Sherratt,dsherratt3v@nyu.edu,3.137,2023,16 Harper Junction,Concord,CA,94522
N53139,Lee,Lenz,llenz3w@nyu.edu,0.364,2025,2 Ludington Park,Riverside,CA,92505
N78654,Garreth,Belchamber,gbelchamber3x@nyu.edu,1.315,2025,95379 Clyde Gallagher Pass,Wichita,KS,67236
N64843,Kermit,Castel,kcastel3y@nyu.edu,3.175,2024,2647 Moose Trail,Miami,FL,33190
N88408,Bell,Highway,bhighway3z@nyu.edu,3.277,2025,1 Reindahl Court,Omaha,NE,68124
N36140,Yetta,Sall,ysall40@nyu.edu,2.521,2027,3750 Burning Wood Way,Los Angeles,CA,90076
N54098,Dannie,Saxby,dsaxby41@nyu.edu,0.748,2023,27 Homewood Park,Dallas,TX,75221
N83564,Eddie,Judson,ejudson42@nyu.edu,3.291,2024,458 Monument Junction,Hattiesburg,MS,39404
N36699,Kali,Shuttell,kshuttell43@nyu.edu,3.447,2023,5 Derek Road,Tulsa,OK,74103
N84108,Penelope,Cagan,pcagan44@nyu.edu,0.416,2026,360 Goodland Center,Evansville,IN,47705
N43947,Brook,Spurritt,bspurritt45@nyu.edu,1.389,2026,225 Meadow Vale Street,Baltimore,MD,21239
N66379,Sutton,Kerford,skerford46@nyu.edu,3.949,2025,7211 Welch Drive,San Diego,CA,92165
N87112,Hadleigh,Kamenar,hkamenar47@nyu.edu,2.956,2024,25571 Stone Corner Drive,Spartanburg,SC,29305
N43277,Giffer,Culleton,gculleton48@nyu.edu,2.319,2026,37271 Eastwood Drive,Anchorage,AK,99522
N88868,Maryanne,Snashall,msnashall49@nyu.edu,1.857,2025,9 Troy Hill,San Jose,CA,95160
N47521,Quinlan,Peachment,qpeachment4a@nyu.edu,1.514,2027,1 Rieder Lane,Sterling,VA,20167
N86663,Paulina,Goldhawk,pgoldhawk4b@nyu.edu,3.997,2025,6 Maple Park,Macon,GA,31217
N45863,Wittie,Golsby,wgolsby4c@nyu.edu,1.09,2023,98131 Bayside Crossing,Asheville,NC,28815
N49131,Suzanne,Sobtka,ssobtka4d@nyu.edu,1.065,2026,9735 4th Street,Montgomery,AL,36134
N46693,Randell,Hiddy,rhiddy4e@nyu.edu,3.804,2023,669 Lotheville Circle,Hialeah,FL,33013
N86793,Georg,Rudeyeard,grudeyeard4f@nyu.edu,2.0,2026,188 Graceland Center,Las Vegas,NV,89178
N84757,Lenka,Huffer,lhuffer4g@nyu.edu,3.787,2024,536 Granby Hill,Sacramento,CA,94263
N86091,Alexandros,Antic,aantic4h@nyu.edu,0.703,2025,9 Susan Place,El Paso,TX,88563
N48300,Ellyn,Murrum,emurrum4i@nyu.edu,2.64,2026,88 Thompson Plaza,Riverside,CA,92513
N52802,Correy,O'Gormley,cogormley4j@nyu.edu,3.126,2027,71062 Sachs Trail,Alexandria,VA,22301
N64136,Constantin,Kocher,ckocher4k@nyu.edu,2.211,2027,28982 Fremont Street,Syracuse,NY,13217
N76460,Ignace,Malimoe,imalimoe4l@nyu.edu,2.488,2023,5 Kedzie Point,Saint Petersburg,FL,33715
N58663,Karoline,Crampsey,kcrampsey4m@nyu.edu,2.72,2027,6410 1st Street,Wilmington,DE,19810
N72320,Yard,Sibthorp,ysibthorp4n@nyu.edu,2.72,2024,14 Jenna Crossing,Chicago,IL,60624
N58145,Brita,Hilling,bhilling4o@nyu.edu,0.916,2024,38099 New Castle Terrace,New Orleans,LA,70129
N45024,Chick,Dentith,cdentith4p@nyu.edu,2.529,2026,07619 Anniversary Junction,Rochester,MN,55905
N80899,Valeda,Huggett,vhuggett4q@nyu.edu,0.544,2025,6169 Commercial Street,Saint Louis,MO,63131
N42660,Judi,Werrit,jwerrit4r@nyu.edu,2.95,2023,829 Esker Drive,Petaluma,CA,94975
N72497,Emmy,Warfield,ewarfield4s@nyu.edu,0.953,2023,44 Leroy Parkway,Columbus,OH,43210
N62936,Emilee,Mutch,emutch4t@nyu.edu,1.062,2023,5714 Hauk Pass,El Paso,TX,88546
N74445,Jayson,Dorwood,jdorwood4u@nyu.edu,0.329,2025,98269 Toban Pass,Corpus Christi,TX,78475
N34650,Viviyan,Eadmead,veadmead4v@nyu.edu,1.449,2026,1968 Northwestern Circle,Frankfort,KY,40618
N72479,Temple,Blain,tblain4w@nyu.edu,2.262,2025,5472 Lukken Circle,Pensacola,FL,32511
N72893,Avril,Van Baaren,avanbaaren4x@nyu.edu,3.113,2025,04349 Graceland Alley,Hollywood,FL,33023
N53761,Clarance,Koppens,ckoppens4y@nyu.edu,0.128,2027,63 Sunfield Drive,Midland,TX,79705
N41991,Alexandros,Fischer,afischer4z@nyu.edu,1.045,2026,7593 Dawn Point,Washington,DC,20456
N72893,Sidney,Winwright,swinwright50@nyu.edu,3.639,2027,03 Express Drive,Flushing,NY,11355
N50459,Jordan,Loseke,jloseke51@nyu.edu,2.261,2024,16 Hoffman Court,Portland,OR,97211
N37523,Hervey,Heatlie,hheatlie52@nyu.edu,2.381,2026,6569 Nelson Avenue,Garland,TX,75044
N34833,Gui,Spinnace,gspinnace53@nyu.edu,1.501,2025,58 Elgar Place,Chattanooga,TN,37416
N56157,Jeffy,Sibly,jsibly54@nyu.edu,2.207,2025,4 Autumn Leaf Hill,Buffalo,NY,14276
N57439,Faustina,Leftwich,fleftwich55@nyu.edu,1.425,2025,92622 Rusk Terrace,Tallahassee,FL,32309
N45988,Cristabel,Checketts,cchecketts56@nyu.edu,2.426,2027,2 Iowa Court,Modesto,CA,95397
N53368,Rosemaria,Gallacher,rgallacher57@nyu.edu,3.651,2026,1888 Westerfield Crossing,Palm Bay,FL,32909
N65003,Lamar,Lenahan,llenahan58@nyu.edu,3.081,2027,9 Pearson Parkway,New Orleans,LA,70187
N51621,Linn,Mantrip,lmantrip59@nyu.edu,1.004,2027,664 Brentwood Crossing,Lakeland,FL,33805
N81810,Candy,Roger,croger5a@nyu.edu,1.767,2027,18117 Welch Lane,Newark,NJ,07188
N61008,Nydia,Messham,nmessham5b@nyu.edu,1.592,2023,57 Clarendon Drive,Port Saint Lucie,FL,34985
N88896,Maighdiln,Deem,mdeem5c@nyu.edu,1.179,2025,80 Glacier Hill Avenue,Baton Rouge,LA,70805
N70027,Sheffield,Shercliff,sshercliff5d@nyu.edu,3.793,2024,8181 Beilfuss Center,Houston,TX,77005
N65223,Merrielle,Tallent,mtallent5e@nyu.edu,0.796,2025,3184 Fremont Pass,Jefferson City,MO,65105
N81048,Edna,Shawcroft,eshawcroft5f@nyu.edu,1.793,2027,39446 Colorado Way,Lexington,KY,40515
N55604,Piper,Struan,pstruan5g@nyu.edu,3.687,2025,852 Nova Point,Rochester,NY,14619
N50479,Melita,Gameson,mgameson5h@nyu.edu,1.248,2023,86602 Holmberg Pass,San Diego,CA,92110
N55879,Holly,Hardi,hhardi5i@nyu.edu,0.356,2025,9 American Ash Parkway,Fresno,CA,93721
N63576,Berri,Ever,bever5j@nyu.edu,3.338,2026,756 Morningstar Way,Sioux Falls,SD,57105
N71139,Jacquelynn,Edelman,jedelman5k@nyu.edu,1.981,2023,120 Sachs Place,Washington,DC,20425
N48027,Jeff,Kristiansen,jkristiansen5l@nyu.edu,2.72,2023,27942 Lakeland Trail,Raleigh,NC,27615
N60761,Lacy,Churn,lchurn5m@nyu.edu,3.583,2024,06 Clove Street,Minneapolis,MN,55436
N78023,Jammie,Josefsen,jjosefsen5n@nyu.edu,3.801,2025,94784 Caliangt Court,Indianapolis,IN,46202
N88744,Keven,Haywood,khaywood5o@nyu.edu,3.367,2023,6 Tennessee Junction,Gilbert,AZ,85297
N72487,Ado,McNeil,amcneil5p@nyu.edu,3.633,2025,2080 Charing Cross Trail,Washington,DC,56944
N64094,Ajay,Halsey,ahalsey5q@nyu.edu,2.998,2026,65605 Basil Junction,Jersey City,NJ,07305
N84753,Isaac,Klimek,iklimek5r@nyu.edu,0.852,2025,75 Hoard Crossing,Oklahoma City,OK,73142
N60938,Chrysler,Gotling,cgotling5s@nyu.edu,2.632,2023,9889 Trailsway Center,Clearwater,FL,34629
N58479,Jessa,Goard,jgoard5t@nyu.edu,3.721,2023,1855 Melrose Avenue,Oklahoma City,OK,73167
N56416,Gerardo,Szymanek,gszymanek5u@nyu.edu,2.383,2023,28884 Warbler Trail,Wilkes Barre,PA,18768
N79342,Man,Magovern,mmagovern5v@nyu.edu,3.087,2025,1 Knutson Street,Washington,DC,20470
N56131,Tiler,Hallas,thallas5w@nyu.edu,1.745,2024,3818 Eliot Point,Milwaukee,WI,53220
N48071,Amalee,Dowrey,adowrey5x@nyu.edu,1.034,2027,2441 Mayfield Lane,Oceanside,CA,92056
N65195,Chery,Golden,cgolden5y@nyu.edu,3.885,2026,95 Main Point,Austin,TX,78749
N36222,Berenice,Darragon,bdarragon5z@nyu.edu,3.358,2026,874 Coolidge Plaza,Oklahoma City,OK,73157
N55576,Lura,Fabri,lfabri60@nyu.edu,0.67,2025,4 Maple Wood Lane,Charleston,WV,25389
N62688,Tris,Baldung,tbaldung61@nyu.edu,1.344,2024,304 Harbort Terrace,Houston,TX,77015
N88942,Stavro,Grigoriev,sgrigoriev62@nyu.edu,2.838,2027,0 Monument Court,Dallas,TX,75216
N45415,Casper,Salt,csalt63@nyu.edu,3.335,2027,9 Lake View Point,Washington,DC,20337
N87239,Madelene,McKernan,mmckernan64@nyu.edu,2.886,2025,1034 Oakridge Drive,Canton,OH,44710
N68032,Pancho,Gantlett,pgantlett65@nyu.edu,3.656,2023,8261 Express Alley,Lees Summit,MO,64082
N56914,Killian,Houten,khouten66@nyu.edu,3.955,2023,89217 Schurz Drive,Grand Junction,CO,81505
N61514,Delbert,Roeby,droeby67@nyu.edu,3.947,2024,0 Golf View Crossing,Worcester,MA,01610
N50686,Nani,Crosson,ncrosson68@nyu.edu,1.674,2026,874 Coleman Place,Boise,ID,83711
N83132,Shani,Maultby,smaultby69@nyu.edu,3.73,2023,63 Manufacturers Street,Grand Rapids,MI,49505
N56925,Verile,MacCumiskey,vmaccumiskey6a@nyu.edu,0.573,2026,613 Crest Line Alley,Colorado Springs,CO,80915
N60338,Merl,Pickthall,mpickthall6b@nyu.edu,1.632,2025,0312 Fallview Circle,Harrisburg,PA,17110
N86318,Billie,McGaffey,bmcgaffey6c@nyu.edu,3.911,2024,5541 Mendota Parkway,Loretto,MN,55598
N43020,Susanna,Dinjes,sdinjes6d@nyu.edu,2.181,2023,0 Sachtjen Pass,Huntington,WV,25770
N38603,Lucita,Maultby,lmaultby6e@nyu.edu,1.303,2023,2254 Swallow Lane,Chicago,IL,60636
N54208,Lennie,Lenormand,llenormand6f@nyu.edu,1.374,2025,68 Derek Court,Silver Spring,MD,20904
N71896,Shari,Lohmeyer,slohmeyer6g@nyu.edu,3.17,2025,04956 Dryden Place,Mesquite,TX,75185
N64265,Jacky,Keuntje,jkeuntje6h@nyu.edu,2.698,2027,4 Hanson Center,Baltimore,MD,21275
N47874,Otho,Brothwell,obrothwell6i@nyu.edu,3.515,2023,53123 Prairie Rose Way,El Paso,TX,79989
N86337,Sofie,Lait,slait6j@nyu.edu,1.774,2025,6 Merry Lane,Huntington Beach,CA,92648
N36277,Elliott,Rowberry,erowberry6k@nyu.edu,0.282,2023,861 Holmberg Crossing,Pasadena,TX,77505
N47987,Axe,Duckers,aduckers6l@nyu.edu,0.414,2023,68 Morningstar Alley,Albuquerque,NM,87140
N64198,Filmer,Du Hamel,fduhamel6m@nyu.edu,3.419,2023,696 Schlimgen Pass,Fort Wayne,IN,46857
N51104,Franklin,Burnand,fburnand6n@nyu.edu,0.41,2023,2480 Carioca Circle,Knoxville,TN,37931
N38303,Dwight,Gerault,dgerault6o@nyu.edu,1.83,2023,6171 Dapin Circle,Washington,DC,20073
